18.703,49.591,44.153,43.714,30.11,33.155,32.323,52.957,30.629,26.23,36.788,28.58,13.977,49.653,16.687,7.4923,13.539,53.617,12.067,54.268,24.361,13.275,42.485,35.421,37.83,17.299,18.908,98.068,24.115,12.418,57.295,5.7097,33.384,33.116,46.623,36.403,12.19,33.139,29.825,14.884,19.246,49.332,37.17,11.194,17.77,27.406,32.259,78.726,28.795,26.301,30.69,101.62,24.098,42.923,44.598,50.148,37.931,0,27.358,11.443,19.385,7.2012,45.887,52.343,7.3915,22.857,33.697,1.0151e+05
18.709,49.596,44.197,43.653,30.077,33.154,32.211,53.007,30.626,26.201,36.716,28.611,13.963,49.707,16.672,7.4836,13.518,53.615,12.042,54.163,24.377,13.257,42.483,35.543,37.963,17.304,18.877,98.056,24.119,12.414,57.354,5.7021,33.416,33.11,46.617,36.471,12.192,33.143,29.845,14.912,19.21,49.368,37.163,11.169,17.759,27.396,32.271,78.674,28.778,26.279,30.666,101.66,24.109,42.924,44.625,50.158,37.994,0,27.341,11.438,19.399,7.1983,45.903,52.277,7.3721,22.853,33.696,1.0144e+05
18.703,49.592,44.202,43.654,30.052,33.153,32.141,53.083,30.624,26.169,36.754,28.625,13.947,49.694,16.659,7.4737,13.497,53.613,12.019,54.349,24.358,13.24,42.477,35.448,37.812,17.331,18.901,98.167,24.112,12.411,57.546,5.6946,33.453,33.097,46.625,36.494,12.19,33.142,29.863,14.94,19.181,49.393,37.19,11.138,17.759,27.381,32.272,78.631,28.763,26.258,30.632,101.63,24.123,42.931,44.661,50.155,38.07,0,27.325,11.436,19.443,7.1943,45.903,52.21,7.353,22.858,33.641,1.0142e+05
18.698,49.596,44.234,43.669,30.082,33.151,32.09,53.079,30.619,26.14,36.706,28.649,13.935,49.743,16.648,7.4629,13.476,53.611,11.997,54.203,24.368,13.223,42.472,35.548,37.917,17.336,18.877,98.232,24.112,12.406,57.605,5.689,33.464,33.095,46.626,36.56,12.199,33.137,29.882,14.968,19.134,49.426,37.219,11.112,17.752,27.396,32.283,78.581,28.747,26.237,30.597,101.68,24.136,42.941,44.681,50.16,38.136,0,27.31,11.43,19.522,7.1907,45.905,52.156,7.3342,22.86,33.62,1.0153e+05
18.696,49.593,44.265,43.646,30.083,33.149,32.045,53.21,30.616,26.11,36.734,28.658,13.922,49.736,16.636,7.4513,13.456,53.61,11.975,54.336,24.399,13.205,42.466,35.526,37.889,17.36,18.896,98.287,24.114,12.401,57.634,5.6837,33.462,33.084,46.636,36.591,12.197,33.135,29.892,14.995,19.09,49.454,37.257,11.082,17.75,27.375,32.267,78.536,28.731,26.216,30.573,101.69,24.151,42.947,44.693,50.16,38.209,0,27.295,11.43,19.563,7.188,45.913,52.092,7.3156,22.857,33.609,1.0161e+05
18.694,49.595,44.282,43.616,30.079,33.148,31.996,53.222,30.612,26.081,36.699,28.686,13.907,49.778,16.624,7.4396,13.435,53.604,11.953,54.32,24.404,13.188,42.461,35.543,37.835,17.37,18.875,98.329,24.119,12.397,57.793,5.677,33.481,33.071,46.631,36.653,12.193,33.133,29.908,15.023,19.044,49.485,37.309,11.056,17.744,27.368,32.278,78.489,28.715,26.195,30.551,101.69,24.163,42.952,44.704,50.164,38.276,0,27.28,11.424,19.551,7.1846,45.917,52.044,7.2971,22.86,33.556,1.0163e+05
18.698,49.595,44.315,43.608,30.069,33.146,31.953,53.272,30.609,26.052,36.716,28.698,13.894,49.776,16.612,7.4276,13.414,53.599,11.931,54.284,24.398,13.171,42.456,35.569,37.923,17.39,18.891,98.386,24.119,12.393,57.898,5.67,33.504,33.055,46.647,36.684,12.187,33.131,29.922,15.05,18.994,49.515,37.351,11.026,17.74,27.374,32.296,78.443,28.699,26.174,30.528,101.68,24.178,42.961,44.714,50.166,38.348,0,27.265,11.423,19.587,7.1816,45.918,51.986,7.2787,22.86,33.542,1.0166e+05
18.7,49.595,44.337,43.591,30.042,33.145,31.922,53.366,30.605,26.024,36.691,28.72,13.879,49.813,16.6,7.4171,13.394,53.594,11.91,54.428,24.414,13.154,42.45,35.547,37.798,17.402,18.873,98.453,24.121,12.389,57.926,5.6637,33.52,33.037,46.639,36.744,12.181,33.128,29.94,15.076,18.941,49.546,37.398,11,17.736,27.363,32.308,78.397,28.684,26.154,30.504,101.67,24.19,42.972,44.717,50.169,38.414,0,27.25,11.418,19.594,7.1789,45.92,51.93,7.2605,22.86,33.523,1.0168e+05
18.703,49.596,44.365,43.565,30.003,33.143,31.892,53.355,30.602,25.996,36.696,28.736,13.865,49.813,16.588,7.406,13.374,53.59,11.889,54.285,24.434,13.137,42.445,35.579,37.855,17.42,18.887,98.512,24.125,12.385,58.047,5.6583,33.528,33.016,46.654,36.777,12.174,33.126,29.954,15.103,18.89,49.574,37.427,10.972,17.731,27.358,32.322,78.351,28.668,26.133,30.48,101.69,24.205,42.983,44.72,50.171,38.484,0,27.235,11.416,19.646,7.1763,45.923,51.866,7.2425,22.861,33.472,1.0171e+05
18.705,49.595,44.391,43.536,29.965,33.142,31.853,53.456,30.599,25.968,36.682,28.757,13.852,49.845,16.576,7.3966,13.353,53.585,11.868,54.454,24.436,13.12,42.44,35.571,37.862,17.433,18.871,98.563,24.127,12.381,58.177,5.6533,33.544,32.995,46.649,36.834,12.165,33.123,29.97,15.129,18.84,49.604,37.472,10.946,17.727,27.354,32.328,78.306,28.652,26.112,30.455,101.7,24.218,42.996,44.725,50.173,38.551,0,27.22,11.411,19.671,7.1737,45.924,51.804,7.2246,22.862,33.463,1.0173e+05
